ogc_fid,statefp,countyfp,tractce,name
3360,05,119,003710,37.10
3361,05,119,002002,20.02
6176,06,075,010700,107
3362,05,119,002403,24.03
3365,05,119,003100,31
3366,05,119,002405,24.05
6177,06,075,010800,108
3363,05,119,004306,43.06
3364,05,119,002206,22.06
3369,05,119,004305,43.05
3370,05,119,004213,42.13
3367,05,119,001900,19
3368,05,119,004218,42.18
3371,05,119,004212,42.12
3373,05,119,003707,37.07
3376,05,119,004004,40.04
3374,05,119,004214,42.14
3375,05,119,002407,24.07
3379,05,119,003207,32.07
3490,05,131,000100,1
3380,05,119,002103,21.03
3381,05,119,001600,16
3507,05,139,950500,9505
3508,05,139,950300,9503
3509,05,139,950700,9507
3510,05,139,950200,9502
3382,05,119,000200,2
3385,05,119,003711,37.11
3383,05,119,003703,37.03
3384,05,119,001501,15.01
3511,05,139,950400,9504
3386,05,119,000500,5
3387,05,119,003608,36.08
3388,05,119,004106,41.06
3389,05,119,003706,37.06
5583,06,073,008359,83.59
3390,05,119,004800,48
3397,05,119,002209,22.09
3391,05,119,003304,33.04
3392,05,119,003202,32.02
3393,05,119,002102,21.02
3394,05,119,004500,45
3395,05,119,004215,42.15
3400,05,119,001800,18
3396,05,119,004219,42.19
3927,06,001,423000,4230
3398,05,119,004216,42.16
3399,05,119,004302,43.02
3401,05,119,002001,20.01
3412,05,119,003305,33.05
3402,05,119,002408,24.08
3403,05,119,002208,22.08
3404,05,119,002104,21.04
3406,05,119,002700,27
3407,05,119,004001,40.01
3405,05,119,003205,32.05
3479,05,131,001202,12.02
3408,05,119,002406,24.06
3409,05,119,004207,42.07
3411,05,119,003306,33.06
3480,05,131,010201,102.01
3481,05,131,010202,102.02
3410,05,119,003713,37.13
3896,06,001,402400,4024
3413,05,119,001502,15.02
3486,05,131,000400,4
11127,06,037,123303,1233.03
3414,05,119,002800,28
3420,05,119,003208,32.08
3421,05,119,004221,42.21
3415,05,119,003606,36.06
3431,05,119,002500,25
3432,05,119,004006,40.06
3416,05,119,004104,41.04
3435,05,119,003607,36.07
3417,05,119,004105,41.05
3418,05,119,004007,40.07
3419,05,119,003712,37.12
3422,05,119,001100,11
3423,05,119,003605,36.05
3424,05,119,003404,34.04
3425,05,119,003402,34.02
3426,05,119,004201,42.01
3436,05,083,950300,9503
3437,05,083,950100,9501
3438,05,083,950500,9505
3439,05,083,950400,9504
3440,05,083,950200,9502
3441,05,083,950600,9506
3442,05,117,460100,4601
3443,05,117,460200,4602
3444,05,117,460300,4603
3445,05,135,470100,4701
3446,05,135,470300,4703
3447,05,135,470200,4702
3448,05,135,470400,4704
3449,05,137,950201,9502.01
3450,05,137,950202,9502.02
3451,05,137,950100,9501
3452,05,125,010600,106
3453,05,125,010408,104.08
6526,06,099,002504,25.04
3427,05,119,004005,40.05
3428,05,119,003800,38
3429,05,119,004220,42.20
3430,05,119,003002,30.02
3489,05,131,000502,5.02
3433,05,119,003604,36.04
6178,06,075,022903,229.03
3434,05,119,003403,34.03
3454,05,125,010409,104.09
3473,05,131,001201,12.01
6527,06,099,002503,25.03
3455,05,125,010301,103.01
3456,05,125,010101,101.01
3457,05,125,010302,103.02
3458,05,125,010303,103.03
3476,05,131,001001,10.01
3459,05,125,010405,104.05
3460,05,125,010510,105.10
3461,05,125,010503,105.03
3462,05,125,010507,105.07
3463,05,125,010512,105.12
6179,06,075,023102,231.02
3464,05,125,010102,101.02
3465,05,125,010511,105.11
3466,05,125,010509,105.09
3467,05,125,010508,105.08
3468,05,125,010404,104.04
3469,05,125,010103,101.03
3470,05,125,010407,104.07
3471,05,125,010406,104.06
3472,05,125,010506,105.06
3474,05,131,001101,11.01
3475,05,131,001002,10.02
6184,06,075,035202,352.02
3482,05,131,001305,13.05
3483,05,131,001301,13.01
3484,05,131,000600,6
3485,05,131,000501,5.01
3487,05,131,000300,3
3488,05,131,000200,2
6528,06,099,002006,20.06
3491,05,131,001304,13.04
6529,06,099,002005,20.05
3492,05,131,001303,13.03
3516,05,007,021201,212.01
3517,05,007,020401,204.01
3518,05,007,021001,210.01
3493,05,131,001102,11.02
3494,05,131,010101,101.01
3495,05,131,001302,13.02
3496,05,131,010102,101.02
3497,05,131,010302,103.02
3498,05,131,010301,103.01
3499,05,129,970300,9703
3500,05,129,970200,9702
3501,05,129,970100,9701
3502,05,139,950100,9501
3503,05,139,951000,9510
3519,05,007,021202,212.02
3504,05,139,950900,9509
3989,06,001,437500,4375
3505,05,139,950800,9508
3506,05,139,950600,9506
3512,05,007,020501,205.01
3513,05,007,021301,213.01
6884,06,067,009307,93.07
3514,05,007,020201,202.01
3515,05,007,021002,210.02
8351,06,077,004307,43.07
3522,05,007,020302,203.02
3523,05,007,020102,201.02
3524,05,007,020304,203.04
3525,05,007,020504,205.04
3526,05,007,020704,207.04
3527,05,007,020101,201.01
3529,05,007,020604,206.04
3530,05,007,020701,207.01
3531,05,007,020805,208.05
3532,05,007,020703,207.03
3533,05,007,021405,214.05
3534,05,007,021409,214.09
3535,05,007,020404,204.04
3567,06,047,002302,23.02
3536,05,007,020206,202.06
3541,05,007,021308,213.08
3537,05,007,021406,214.06
3538,05,007,021407,214.07
3539,05,007,021408,214.08
3582,06,047,001401,14.01
3540,05,007,020203,202.03
3542,05,007,020405,204.05
3543,05,007,021306,213.06
3544,05,007,021311,213.11
3545,05,007,021305,213.05
3546,05,007,020606,206.06
3547,05,007,020806,208.06
3568,06,047,001501,15.01
3548,05,007,020605,206.05
3555,05,007,021101,211.01
3549,05,007,020603,206.03
3556,05,007,020503,205.03
3569,06,047,000901,9.01
3583,06,047,001200,12
3550,05,007,020901,209.01
3551,05,007,020902,209.02
3552,05,007,020801,208.01
3562,06,083,002011,20.11
3553,05,007,021304,213.04
3566,06,047,002301,23.01
11164,06,037,117202,1172.02
3554,05,007,021102,211.02
3588,06,061,990000,9900
3557,05,007,020803,208.03
3558,05,007,021404,214.04
6544,06,099,000303,3.03
3559,05,007,021310,213.10
3560,05,007,020205,202.05
3561,06,083,002013,20.13
3563,06,083,001601,16.01
3564,06,083,000301,3.01
3565,06,083,000302,3.02
3570,06,047,001002,10.02
3571,06,087,990100,9901
3572,06,061,020711,207.11
3573,06,061,020712,207.12
6867,06,067,008140,81.40
3574,06,061,023900,239
3576,06,083,002604,26.04
3577,06,083,001800,18
3575,06,061,023700,237
3578,06,083,002703,27.03
6185,06,075,035100,351
3579,06,083,000804,8.04
3580,06,083,001206,12.06
3581,06,083,001208,12.08
3584,06,047,001402,14.02
3585,06,061,020805,208.05
3600,06,047,001700,17
3586,06,061,020713,207.13
3587,06,061,023200,232
3589,06,083,002802,28.02
3590,06,083,002806,28.06
3591,06,083,002808,28.08
3592,06,083,002809,28.09
3593,06,083,002702,27.02
3594,06,083,001304,13.04
3601,06,047,001101,11.01
6186,06,075,047701,477.01
3595,06,083,001306,13.06
3602,06,047,001004,10.04
3596,06,083,001402,14.02
3597,06,083,001604,16.04
3598,06,083,001706,17.06
3599,06,083,002502,25.02
3614,06,083,002926,29.26
3603,06,061,020715,207.15
3604,06,061,020714,207.14
3605,06,061,021129,211.29
3606,06,061,021322,213.22
3607,06,083,001101,11.01
3608,06,083,002705,27.05
3609,06,083,002706,27.06
3610,06,083,002707,27.07
3611,06,083,002708,27.08
3612,06,083,002922,29.22
3613,06,083,002924,29.24
3618,06,047,001601,16.01
3619,06,047,001602,16.02
3620,06,047,001502,15.02
3621,06,061,021040,210.40
3622,06,061,021038,210.38
3623,06,083,000101,1.01
3650,06,061,021046,210.46
3651,06,017,031402,314.02
3624,06,083,000102,1.02
3625,06,083,000103,1.03
3626,06,083,002930,29.30
3627,06,083,002932,29.32
3652,06,017,031502,315.02
3653,06,017,030801,308.01
3654,06,017,030804,308.04
3655,06,017,030402,304.02
3656,06,017,030601,306.01
3657,06,017,030902,309.02
3628,06,083,003007,30.07
3629,06,083,003102,31.02
3630,06,083,002606,26.06
3632,06,083,001704,17.04
3633,06,047,001503,15.03
3658,06,017,031302,313.02
3659,06,017,031200,312
3660,06,017,030603,306.03
3661,06,017,031405,314.05
3638,06,047,000505,5.05
3639,06,047,000902,9.02
3662,06,017,031404,314.04
3663,06,017,030602,306.02
3664,06,017,030704,307.04
3665,06,017,030803,308.03
3666,06,017,031100,311
3667,06,017,031301,313.01
3668,06,017,031406,314.06
3640,06,087,121401,1214.01
3641,06,087,122201,1222.01
3642,06,087,120500,1205
3649,06,061,020908,209.08
3643,06,087,100300,1003
3644,06,087,121200,1212
3645,06,087,121100,1211
3669,06,083,000200,2
3670,06,083,000501,5.01
3671,06,083,000502,5.02
3672,06,083,000700,7
3673,06,083,001500,15
3674,06,083,002906,29.06
3675,06,083,002907,29.07
3676,06,083,980000,9800
3677,06,083,980100,9801
3678,06,083,990000,9900
3679,06,047,002202,22.02
3680,06,047,001301,13.01
3681,06,087,100200,1002
3682,06,087,121300,1213
3683,06,087,123300,1233
7232,06,019,005909,59.09
3684,06,087,100100,1001
3685,06,087,120200,1202
3686,06,087,120301,1203.01
3690,06,061,021035,210.35
3691,06,017,031000,310
3692,06,017,031503,315.03
3693,06,017,031504,315.04
3694,06,017,030502,305.02
3687,06,087,100800,1008
